Date,Open,High,Low,Close,Adj Close,Volume
6/14/2021,1.464,1.594,1.438,1.45,1.45,0
6/21/2021,1.452,1.545,1.452,1.536,1.536,0
6/28/2021,1.509,1.512,1.426,1.431,1.431,0
7/5/2021,1.424,1.427,1.268,1.356,1.356,0
7/12/2021,1.343,1.42,1.292,1.3,1.3,0
7/19/2021,1.227,1.312,1.128,1.286,1.286,0
7/26/2021,1.255,1.285,1.226,1.239,1.239,0
8/2/2021,1.231,1.3,1.129,1.29,1.29,0
8/9/2021,1.278,1.379,1.268,1.297,1.297,0
8/16/2021,1.273,1.299,1.223,1.26,1.26,0
8/23/2021,1.267,1.375,1.252,1.312,1.312,0
8/30/2021,1.31,1.336,1.27,1.322,1.322,0
9/6/2021,1.366,1.385,1.287,1.341,1.341,0
9/13/2021,1.338,1.386,1.26,1.37,1.37,0
9/20/2021,1.309,1.466,1.297,1.46,1.46,0
9/27/2021,1.496,1.567,1.47,1.479,1.479,0
10/4/2021,1.486,1.617,1.463,1.605,1.605,0
10/11/2021,1.614,1.615,1.507,1.576,1.576,0
10/18/2021,1.599,1.691,1.577,1.655,1.655,0
10/25/2021,1.654,1.673,1.52,1.557,1.557,0
11/1/2021,1.587,1.605,1.45,1.453,1.453,0
11/8/2021,1.483,1.592,1.415,1.582,1.582,0
11/15/2021,1.553,1.646,1.521,1.536,1.536,0
11/22/2021,1.575,1.693,1.473,1.482,1.482,0
11/29/2021,1.547,1.565,1.343,1.343,1.343,0
12/6/2021,1.39,1.537,1.37,1.489,1.489,0
12/13/2021,1.468,1.484,1.372,1.402,1.402,0
12/20/2021,1.387,1.501,1.375,1.493,1.493,0
12/27/2021,1.489,1.558,1.455,1.512,1.512,0
1/3/2022,1.534,1.801,1.533,1.771,1.771,0
1/10/2022,1.775,1.808,1.706,1.772,1.772,0
1/17/2022,1.827,1.874,1.733,1.747,1.747,0
1/24/2022,1.732,1.857,1.707,1.782,1.782,0
1/31/2022,1.803,1.936,1.743,1.93,1.93,0
2/7/2022,1.921,2.063,1.909,1.955,1.955,0
2/14/2022,1.963,2.065,1.918,1.932,1.932,0
2/21/2022,1.944,2.011,1.856,1.986,1.986,0
2/28/2022,1.917,1.92,1.682,1.724,1.724,0
3/7/2022,1.773,2.021,1.719,2.004,2.004,0
3/14/2022,2.078,2.246,2.069,2.148,2.148,0
3/21/2022,2.207,2.503,2.207,2.492,2.492,0
3/28/2022,2.464,2.496,2.311,2.377,2.377,0
4/4/2022,2.404,2.728,2.371,2.713,2.713,0
4/11/2022,2.769,2.835,2.646,2.828,2.828,0
4/18/2022,2.862,2.954,2.81,2.906,2.906,0
4/25/2022,2.837,2.934,2.724,2.887,2.887,0
5/2/2022,2.922,3.131,2.907,3.123,3.123,0
5/9/2022,3.163,3.167,2.817,2.935,2.935,0
5/16/2022,2.929,3.014,2.772,2.787,2.787,0
5/23/2022,2.832,2.868,2.708,2.743,2.743,0
5/30/2022,2.83,2.986,2.828,2.957,2.957,0
6/6/2022,2.97,3.178,2.957,3.156,3.156,0
6/13/2022,3.282,3.366,3.246,3.366,3.366,0
6/14/2022,3.349,3.483,3.303,3.483,3.483,0
